name,id,popularity,winrate
Abyssal Scepter,3001,0.244630,0.560307
Aegis of the Legion,3105,0.074970,0.540897
Aether Wisp,3113,0.156950,0.413455
Amplifying Tome,1052,0.434240,0.446683
Ancient Coin,3301,0.037520,0.386750
Archangel's Staff,3003,0.023360,0.493649
Ardent Censer,3504,0.042080,0.608573
Athene's Unholy Grail,3174,0.228100,0.511513
Avarice Blade,3093,0.105490,0.390170
B. F. Sword,1038,0.397820,0.534084
Bami's Cinder,3751,0.113780,0.456464
Banner of Command,3060,0.019450,0.644478
Banshee's Veil,3102,0.317700,0.549336
Berserker's Greaves,3006,0.705220,0.525313
Bilgewater Cutlass,3144,0.165450,0.396437
Blade of the Ruined King,3153,0.817680,0.545020
Blasting Wand,1026,0.421540,0.481895
Boots of Mobility,3117,0.590550,0.524682
Boots of Speed,1001,0.368270,0.371615
Boots of Swiftness,3009,0.077460,0.563483
Brawler's Gloves,1051,0.060190,0.398508
Catalyst the Protector,3010,0.072340,0.495661
Chain Vest,1031,0.318740,0.440144
Chalice of Harmony,3028,0.065800,0.497267
Cloak of Agility,1018,0.131200,0.374618
Cloth Armor,1029,0.348290,0.414809
Crystalline Bracer,3801,0.117750,0.475175
Crystalline Flask,2041,0.273170,0.457291
Dagger,1042,0.157380,0.388455
Doran's Blade,1055,0.715290,0.460414
Doran's Ring,1056,0.588270,0.463967
Doran's Shield,1054,0.185440,0.452471
Elixir of Iron,2138,0.004350,0.501144
Elixir of Ruin,2137,0.001590,0.453416
Elixir of Sorcery,2139,0.006350,0.514914
Elixir of Wrath,2140,0.006490,0.490798
Enchantment: Alacrity,1301,0.059120,0.640648
Enchantment: Alacrity,1306,0.023110,0.636902
Enchantment: Alacrity,1311,0.057950,0.651652
Enchantment: Alacrity,1316,0.030520,0.649761
Enchantment: Alacrity,1321,0.040480,0.659626
Enchantment: Alacrity,1326,0.039210,0.658073
Enchantment: Alacrity,1331,0.028230,0.663322
Enchantment: Captain,1302,0.001000,0.540000
Enchantment: Captain,1307,0.001620,0.623457
Enchantment: Captain,1312,0.002020,0.678218
Enchantment: Captain,1317,0.003600,0.716253
Enchantment: Captain,1322,0.004710,0.637131
Enchantment: Captain,1327,0.015520,0.678411
Enchantment: Captain,1332,0.003730,0.662198
Enchantment: Cinderhulk,3709,0.174450,0.494352
Enchantment: Cinderhulk,3717,0.083640,0.481655
Enchantment: Cinderhulk,3721,0.005750,0.435764
Enchantment: Cinderhulk,3725,0.202670,0.509982
Enchantment: Devourer,3710,0.074250,0.153482
Enchantment: Devourer,3718,0.037420,0.128998
Enchantment: Devourer,3722,0.007280,0.171233
Enchantment: Devourer,3726,0.029350,0.149410
Enchantment: Distortion,1303,0.003510,0.601140
Enchantment: Distortion,1308,0.001210,0.644628
Enchantment: Distortion,1313,0.018140,0.621460
Enchantment: Distortion,1318,0.005620,0.625222
Enchantment: Distortion,1323,0.009640,0.666667
Enchantment: Distortion,1328,0.012440,0.605116
Enchantment: Distortion,1333,0.015820,0.634543
Enchantment: Furor,1300,0.200760,0.631329
Enchantment: Furor,1305,0.003220,0.670807
Enchantment: Furor,1310,0.013230,0.674157
Enchantment: Furor,1315,0.010090,0.647638
Enchantment: Furor,1320,0.013140,0.691497
Enchantment: Furor,1325,0.004680,0.655319
Enchantment: Furor,1330,0.014690,0.659474
Enchantment: Homeguard,1304,0.554710,0.456120
Enchantment: Homeguard,1309,0.056440,0.482088
Enchantment: Homeguard,1314,0.581160,0.469250
Enchantment: Homeguard,1319,0.343160,0.465536
Enchantment: Homeguard,1324,0.393490,0.469098
Enchantment: Homeguard,1329,0.526140,0.475351
Enchantment: Homeguard,1334,0.254860,0.479710
Enchantment: Runeglaive,3708,0.088260,0.514742
Enchantment: Runeglaive,3716,0.024870,0.507397
Enchantment: Runeglaive,3720,0.003540,0.516949
Enchantment: Runeglaive,3724,0.129000,0.518840
Enchantment: Sated Devourer,3930,0.222680,0.645796
Enchantment: Sated Devourer,3931,0.135100,0.652904
Enchantment: Sated Devourer,3932,0.013040,0.644444
Enchantment: Sated Devourer,3933,0.088470,0.649376
Enchantment: Warrior,3707,0.383760,0.477710
Enchantment: Warrior,3714,0.032760,0.484848
Enchantment: Warrior,3719,0.001640,0.396341
Enchantment: Warrior,3723,0.066960,0.493630
Essence Reaver,3508,0.034240,0.580275
Face of the Mountain,3401,0.566740,0.537794
Faerie Charm,1004,0.015200,0.449062
Farsight Orb (Trinket),3363,0.152090,0.614810
Fiendish Codex,3108,0.085580,0.415054
Forbidden Idol,3114,0.072850,0.434474
Frost Queen's Claim,3092,0.213650,0.524281
Frostfang,3098,0.062240,0.453053
Frozen Heart,3110,0.512660,0.560606
Frozen Mallet,3022,0.079710,0.590780
Giant's Belt,1011,0.428600,0.488737
Glacial Shroud,3024,0.149390,0.474778
Greater Stealth Totem (Trinket),3361,0.496950,0.563135
Greater Vision Totem (Trinket),3362,0.232810,0.581510
Guardian Angel,3026,0.173710,0.596337
Guinsoo's Rageblade,3124,0.006470,0.631173
Haunting Guise,3136,0.092720,0.501962
Health Potion,2003,0.488880,0.366409
Hexdrinker,3155,0.132560,0.493199
Hextech Gunblade,3146,0.060170,0.516292
Hextech Revolver,3145,0.020670,0.457238
Hunter's Machete,1039,0.007860,0.293601
Iceborn Gauntlet,3025,0.166080,0.555494
Infinity Edge,3031,0.924530,0.546121
Ionian Boots of Lucidity,3158,0.306630,0.561402
Kindlegem,3067,0.217730,0.438179
Last Whisper,3035,0.656310,0.580080
Liandry's Torment,3151,0.280300,0.585211
Lich Bane,3100,0.295290,0.532696
Locket of the Iron Solari,3190,0.268590,0.592872
Long Sword,1036,0.333500,0.434294
Luden's Echo,3285,0.632600,0.563055
Mana Potion,2004,0.270330,0.371027
Manamune,3004,0.049030,0.435185
Maw of Malmortius,3156,0.164460,0.572361
Mejai's Soulstealer,3041,0.074910,0.685861
Mercurial Scimitar,3139,0.062590,0.597640
Mercury's Treads,3111,0.478530,0.550760
Mikael's Crucible,3222,0.116590,0.584964
Morellonomicon,3165,0.468200,0.530800
Muramana,3042,0.109830,0.534682
Nashor's Tooth,3115,0.131260,0.558505
Needlessly Large Rod,1058,0.536630,0.539563
Negatron Cloak,1057,0.140650,0.484333
Ninja Tabi,3047,0.413170,0.502597
Nomad's Medallion,3096,0.042930,0.374055
Null-Magic Mantle,1033,0.256980,0.459664
Ohmwrecker,3056,0.005210,0.638623
Oracle's Lens (Trinket),3364,0.415540,0.595623
Perfect Hex Core,3198,0.057150,0.534033
Phage,3044,0.170280,0.471835
Phantom Dancer,3046,0.554120,0.586752
Pickaxe,1037,0.425630,0.447692
Poacher's Knife,3711,0.001050,0.295238
Quicksilver Sash,3140,0.099000,0.542756
Rabadon's Deathcap,3089,0.626960,0.589245
Randuin's Omen,3143,0.653200,0.536460
Ranger's Trailblazer,3713,0.016320,0.389976
Raptor Cloak,2053,0.012160,0.569910
Ravenous Hydra (Melee Only),3074,0.555920,0.550359
Recurve Bow,1043,0.097730,0.424213
Rejuvenation Bead,1006,0.030360,0.363717
Relic Shield,3302,0.088140,0.401211
Righteous Glory,3800,0.280190,0.585867
Rod of Ages,3027,0.414210,0.520162
Ruby Crystal,1028,0.443210,0.437455
Ruby Sightstone,2045,0.287160,0.576093
Runaan's Hurricane (Ranged Only),3085,0.125050,0.553679
Rylai's Crystal Scepter,3116,0.282720,0.592638
Sapphire Crystal,1027,0.044860,0.462943
Scrying Orb (Trinket),3342,0.303960,0.541656
