name,id,popularity,winrate
AP Annie,1,0.160528,0.531515
AP Olaf,2,0.000140,0.500000
AP Galio,3,0.009848,0.532995
AP TwistedFate,4,0.082064,0.493421
AP XinZhao,5,0.006119,0.531046
AP Urgot,6,0.000060,0.500000
AP Leblanc,7,0.067746,0.446576
AP Vladimir,8,0.095251,0.502257
AP FiddleSticks,9,0.028064,0.520485
AP Kayle,10,0.051780,0.544893
AP MasterYi,11,0.000170,0.235294
AP Alistar,12,0.004919,0.506098
AP Ryze,13,0.035373,0.449406
AP Sion,14,0.000280,0.428571
AP Sivir,15,0.000060,0.166667
AP Soraka,16,0.017077,0.581382
AP Teemo,17,0.054239,0.517419
AP Tristana,18,0.000680,0.352941
AP Warwick,19,0.000730,0.547945
AP Nunu,20,0.007499,0.486667
AP MissFortune,21,0.001290,0.503876
AP Ashe,22,0.000220,0.454545
AP Tryndamere,23,0.000350,0.514286
AP Jax,24,0.020936,0.463228
AP Morgana,25,0.171146,0.508938
AP Zilean,26,0.006419,0.493769
AP Singed,27,0.011588,0.559965
AP Evelynn,28,0.018726,0.523759
AP Twitch,29,0.000050,0.000000
AP Karthus,30,0.012248,0.503673
AP Chogath,31,0.071006,0.538862
AP Amumu,32,0.019906,0.622803
AP Rammus,33,0.000420,0.523810
AP Anivia,34,0.021626,0.522423
AP Shaco,35,0.004989,0.462926
AP DrMundo,36,0.000200,0.250000
AP Sona,37,0.055779,0.545259
AP Kassadin,38,0.014157,0.423023
AP Irelia,39,0.024715,0.409385
AP Janna,40,0.019156,0.605428
AP Gangplank,41,0.010258,0.318713
AP Corki,42,0.016397,0.413415
AP Karma,43,0.027285,0.485526
AP Taric,44,0.001300,0.569231
AP Veigar,45,0.030584,0.481857
AP Trundle,48,0.000300,0.366667
AP Swain,50,0.037852,0.533809
AP Caitlyn,51,0.000110,0.454545
AP Blitzcrank,53,0.021206,0.527581
AP Malphite,54,0.037892,0.539314
AP Katarina,55,0.072286,0.495436
AP Nocturne,56,0.000060,0.500000
AP Maokai,57,0.009138,0.461707
AP Renekton,58,0.000090,0.444444
AP JarvanIV,59,0.000260,0.538462
AP Elise,60,0.039792,0.592714
AP Orianna,61,0.061598,0.464210
AP MonkeyKing,62,0.001530,0.483660
AP Brand,63,0.050240,0.523184
AP LeeSin,64,0.000470,0.382979
AP Vayne,67,0.000400,0.500000
AP Rumble,68,0.040572,0.518236
AP Cassiopeia,69,0.026825,0.468878
AP Skarner,72,0.002370,0.489451
AP Heimerdinger,74,0.041482,0.537238
AP Nasus,75,0.012318,0.469156
AP Nidalee,76,0.125395,0.514113
AP Udyr,77,0.007379,0.495935
AP Poppy,78,0.003969,0.445844
AP Gragas,79,0.010438,0.456897
AP Pantheon,80,0.000310,0.322581
AP Ezreal,81,0.064737,0.443552
AP Mordekaiser,82,0.023185,0.505821
AP Yorick,83,0.001180,0.457627
AP Akali,84,0.044661,0.472801
AP Kennen,85,0.025125,0.514524
AP Garen,86,0.000140,0.214286
AP Leona,89,0.001590,0.559748
AP Malzahar,90,0.049640,0.543404
AP Talon,91,0.000030,0.666667
AP Riven,92,0.000140,0.214286
AP KogMaw,96,0.014367,0.484342
AP Shen,98,0.002869,0.567944
AP Lux,99,0.128334,0.519944
AP Xerath,101,0.031074,0.505148
AP Shyvana,102,0.000790,0.379747
AP Ahri,103,0.142302,0.536991
AP Graves,104,0.000130,0.153846
AP Fizz,105,0.105789,0.488895
AP Volibear,106,0.001630,0.576687
AP Rengar,107,0.000890,0.483146
AP Varus,110,0.000380,0.368421
AP Nautilus,111,0.006159,0.553571
AP Viktor,112,0.094481,0.506561
AP Sejuani,113,0.003619,0.596685
AP Fiora,114,0.000070,0.285714
AP Ziggs,115,0.028504,0.497369
AP Lulu,117,0.028834,0.488904
AP Draven,119,0.000110,0.181818
AP Hecarim,120,0.009978,0.433868
AP Khazix,121,0.000130,0.461538
AP Darius,122,0.001240,0.572581
AP Jayce,126,0.000620,0.435484
AP Lissandra,127,0.026735,0.472700
AP Diana,131,0.113157,0.529864
AP Quinn,133,0.000180,0.444444
AP Syndra,134,0.020496,0.472195
AP Zyra,143,0.016897,0.539053
AP Gnar,150,0.003179,0.484277
AP Zac,154,0.001930,0.601036
AP Yasuo,157,0.001810,0.441989
AP Velkoz,161,0.025305,0.520743
AP Braum,201,0.000470,0.510638
AP Jinx,222,0.000150,0.066667
AP TahmKench,223,0.003979,0.394472
AP Lucian,236,0.000650,0.430769
AP Zed,238,0.000110,0.363636
AP Ekko,245,0.064187,0.469626
AP Vi,254,0.008458,0.465721
AP Aatrox,266,0.000150,0.533333
AP Nami,267,0.018416,0.522258
AP Azir,268,0.050430,0.461538
AP Thresh,412,0.001810,0.469613
AP RekSai,421,0.001250,0.440000
AP Kalista,429,0.000040,0.000000
AP Bard,432,0.005739,0.456446
