name,id,frequent_build,winning_build
AP Annie, 1, [u"Sorcerer's Shoes"; 'Rod of Ages'; "Rabadon's Deathcap"; 'Void Staff'; "Zhonya's Hourglass"; "Luden's Echo"; 'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; 'Rod of Ages'; "Rabadon's Deathcap"; 'Void Staff'; "Zhonya's Hourglass"; "Luden's Echo"; 'Warding Totem (Trinket)']
AP Olaf, 2, [u"Doran's Blade"; 'Health Potion'; 'Mana Potion'; 'Kindlegem'; 'Trinity Force'; "Mercury's Treads"; 'Warding Totem (Trinket)'], [u'Ruby Crystal'; "Doran's Shield"; 'Crystalline Flask'; 'Ninja Tabi'; 'Tiamat (Melee Only)'; 'Trinity Force'; 'Warding Totem (Trinket)']
AP Galio, 3, [u'Abyssal Scepter'; 'Spirit Visage'; 'Thornmail'; "Mercury's Treads"; "Athene's Unholy Grail"; "Luden's Echo"; 'Warding Totem (Trinket)'], [u'Abyssal Scepter'; 'Spirit Visage'; "Rabadon's Deathcap"; "Mercury's Treads"; "Zhonya's Hourglass"; "Athene's Unholy Grail"; 'Warding Totem (Trinket)']
AP TwistedFate, 4, [u"Sorcerer's Shoes"; "Rabadon's Deathcap"; 'Lich Bane'; 'Void Staff'; "Zhonya's Hourglass"; "Luden's Echo"; 'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; "Rabadon's Deathcap"; 'Lich Bane'; 'Void Staff'; "Zhonya's Hourglass"; "Luden's Echo"; 'Warding Totem (Trinket)']
AP XinZhao, 5, [u'Lich Bane'; "Nashor's Tooth"; 'Boots of Mobility'; "Randuin's Omen"; "Zhonya's Hourglass"; 'Greater Stealth Totem (Trinket)'; 'Enchantment: Devourer'], [u'Lich Bane'; 'Frozen Heart'; "Mercury's Treads"; "Guinsoo's Rageblade"; "Zhonya's Hourglass"; 'Greater Stealth Totem (Trinket)'; 'Enchantment: Magus']
AP Urgot, 6, [u'Boots of Speed'; 'Health Potion'; 'Glacial Shroud'; 'Muramana'; 'Trinity Force'; "Warden's Mail"; 'Warding Totem (Trinket)'], []
AP Leblanc, 7, [u"Sorcerer's Shoes"; "Rabadon's Deathcap"; 'Void Staff'; "Zhonya's Hourglass"; 'Morellonomicon'; "Luden's Echo"; 'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; "Rabadon's Deathcap"; 'Void Staff'; "Zhonya's Hourglass"; 'Morellonomicon'; "Luden's Echo"; 'Warding Totem (Trinket)']
AP Vladimir, 8, [u"Sorcerer's Shoes"; "Rabadon's Deathcap"; 'Void Staff'; 'Will of the Ancients'; "Zhonya's Hourglass"; "Luden's Echo"; 'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; "Rabadon's Deathcap"; 'Void Staff'; 'Will of the Ancients'; "Zhonya's Hourglass"; "Luden's Echo"; 'Warding Totem (Trinket)']
AP FiddleSticks, 9, [u'Blasting Wand'; 'Amplifying Tome'; "Sorcerer's Shoes"; "Rabadon's Deathcap"; "Zhonya's Hourglass"; 'Warding Totem (Trinket)'; 'Enchantment: Magus'], [u'Blasting Wand'; 'Amplifying Tome'; "Sorcerer's Shoes"; "Rabadon's Deathcap"; "Zhonya's Hourglass"; 'Warding Totem (Trinket)'; 'Enchantment: Magus']
AP Kayle, 10, [u"Doran's Ring"; "Sorcerer's Shoes"; "Runaan's Hurricane (Ranged Only)"; "Rabadon's Deathcap"; "Nashor's Tooth"; "Zhonya's Hourglass"; 'Warding Totem (Trinket)'], [u"Doran's Ring"; "Sorcerer's Shoes"; "Runaan's Hurricane (Ranged Only)"; "Rabadon's Deathcap"; 'Lich Bane'; "Nashor's Tooth"; 'Warding Totem (Trinket)']
AP MasterYi, 11, [u'Needlessly Large Rod'; 'Needlessly Large Rod'; 'Needlessly Large Rod'; 'Needlessly Large Rod'; 'Needlessly Large Rod'; 'Needlessly Large Rod'; "Oracle's Lens (Trinket)"], [u'Needlessly Large Rod'; 'Needlessly Large Rod'; 'Needlessly Large Rod'; 'Needlessly Large Rod'; 'Needlessly Large Rod'; 'Needlessly Large Rod'; "Oracle's Lens (Trinket)"]
AP Alistar, 12, [u'Amplifying Tome'; "Doran's Ring"; 'Lich Bane'; "Liandry's Torment"; 'Ionian Boots of Lucidity'; 'Ancient Coin'; 'Greater Stealth Totem (Trinket)'], [u"Rabadon's Deathcap"; 'Lich Bane'; "Mercury's Treads"; 'Morellonomicon'; "Spectre's Cowl"; "Luden's Echo"; 'Warding Totem (Trinket)']
AP Ryze, 13, [u"Sorcerer's Shoes"; 'Rod of Ages'; "Seraph's Embrace"; "Rabadon's Deathcap"; 'Void Staff'; "Zhonya's Hourglass"; 'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; 'Rod of Ages'; "Seraph's Embrace"; "Rabadon's Deathcap"; 'Void Staff'; "Zhonya's Hourglass"; 'Warding Totem (Trinket)']
AP Sion, 14, [u'Glacial Shroud'; "Rylai's Crystal Scepter"; "Randuin's Omen"; "Liandry's Torment"; 'Ionian Boots of Lucidity'; 'Farsight Orb (Trinket)'; "Zz'Rot Portal"], [u'Glacial Shroud'; "Rylai's Crystal Scepter"; "Randuin's Omen"; "Liandry's Torment"; 'Ionian Boots of Lucidity'; 'Farsight Orb (Trinket)'; "Zz'Rot Portal"]
AP Sivir, 15, [u'Health Potion'; 'Mana Potion'; 'Vision Ward'; 'Stealth Ward'; 'Elixir of Wrath'; "Zhonya's Hourglass"; 'Warding Totem (Trinket)'], []
AP Soraka, 16, [u'Sightstone'; 'Talisman of Ascension'; 'Aether Wisp'; 'Forbidden Idol'; 'Ionian Boots of Lucidity'; "Athene's Unholy Grail"; 'Warding Totem (Trinket)'], [u'Sightstone'; "Mejai's Soulstealer"; 'Sheen'; 'Talisman of Ascension'; 'Ionian Boots of Lucidity'; "Luden's Echo"; 'Warding Totem (Trinket)']
AP Teemo, 17, [u"Sorcerer's Shoes"; "Runaan's Hurricane (Ranged Only)"; "Rabadon's Deathcap"; "Nashor's Tooth"; 'Void Staff'; "Liandry's Torment"; 'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; "Rabadon's Deathcap"; "Nashor's Tooth"; 'Void Staff'; "Liandry's Torment"; 'Morellonomicon'; 'Warding Totem (Trinket)']
AP Tristana, 18, [u"Sorcerer's Shoes"; "Mejai's Soulstealer"; "Rabadon's Deathcap"; 'Void Staff'; "Zhonya's Hourglass"; "Luden's Echo"; 'Warding Totem (Trinket)'], [u"Berserker's Greaves"; "Mejai's Soulstealer"; 'Sheen'; "Rabadon's Deathcap"; "Nashor's Tooth"; "Zhonya's Hourglass"; 'Warding Totem (Trinket)']
AP Warwick, 19, [u"Rabadon's Deathcap"; "Wit's End"; 'Boots of Mobility'; 'Hextech Gunblade'; 'Blade of the Ruined King'; 'Warding Totem (Trinket)'; 'Enchantment: Devourer'], [u"Rabadon's Deathcap"; "Wit's End"; 'Boots of Mobility'; 'Hextech Gunblade'; 'Blade of the Ruined King'; 'Warding Totem (Trinket)'; 'Enchantment: Devourer']
AP Nunu, 20, [u"Frost Queen's Claim"; "Mercury's Treads"; "Rylai's Crystal Scepter"; "Randuin's Omen"; 'Will of the Ancients'; "Spectre's Cowl"; 'Warding Totem (Trinket)'], [u"Rabadon's Deathcap"; 'Boots of Mobility'; "Seeker's Armguard"; "Luden's Echo"; 'Warding Totem (Trinket)'; 'Enchantment: Magus'; 'Righteous Glory']
AP MissFortune, 21, [u"Rabadon's Deathcap"; "Rylai's Crystal Scepter"; "Liandry's Torment"; 'Ionian Boots of Lucidity'; 'Morellonomicon'; "Luden's Echo"; 'Greater Vision Totem (Trinket)'], [u"Sorcerer's Shoes"; 'Last Whisper'; "Rabadon's Deathcap"; 'Lich Bane'; "Zhonya's Hourglass"; "Luden's Echo"; 'Warding Totem (Trinket)']
AP Ashe, 22, [u"Sorcerer's Shoes"; "Rabadon's Deathcap"; "Rabadon's Deathcap"; "Rabadon's Deathcap"; 'Void Staff'; "Luden's Echo"; 'Greater Stealth Totem (Trinket)'], [u"Sorcerer's Shoes"; "Rabadon's Deathcap"; "Rabadon's Deathcap"; "Rabadon's Deathcap"; 'Void Staff'; "Luden's Echo"; 'Greater Stealth Totem (Trinket)']
AP Tryndamere, 23, [u'Last Whisper'; "Rabadon's Deathcap"; 'Lich Bane'; "Nashor's Tooth"; "Zhonya's Hourglass"; 'Ionian Boots of Lucidity'; 'Warding Totem (Trinket)'], [u'Last Whisper'; "Rabadon's Deathcap"; 'Lich Bane'; "Nashor's Tooth"; "Zhonya's Hourglass"; 'Ionian Boots of Lucidity'; 'Greater Vision Totem (Trinket)']
AP Jax, 24, [u'Recurve Bow'; 'Health Potion'; 'Crystalline Flask'; 'Ninja Tabi'; 'Trinity Force'; 'Bilgewater Cutlass'; 'Warding Totem (Trinket)'], [u'Recurve Bow'; 'Health Potion'; 'Crystalline Flask'; 'Ninja Tabi'; 'Trinity Force'; 'Bilgewater Cutlass'; 'Warding Totem (Trinket)']
AP Morgana, 25, [u'Blasting Wand'; "Doran's Ring"; 'Needlessly Large Rod'; "Sorcerer's Shoes"; "Zhonya's Hourglass"; 'Morellonomicon'; 'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; "Rabadon's Deathcap"; 'Void Staff'; "Zhonya's Hourglass"; 'Morellonomicon'; "Luden's Echo"; 'Warding Totem (Trinket)']
AP Zilean, 26, [u'Blasting Wand'; 'Sightstone'; 'Tear of the Goddess'; 'Ionian Boots of Lucidity'; "Luden's Echo"; "Spellthief's Edge"; "Oracle's Lens (Trinket)"], [u"Rabadon's Deathcap"; 'Void Staff'; "Liandry's Torment"; "Zhonya's Hourglass"; 'Ionian Boots of Lucidity'; "Luden's Echo"; 'Warding Totem (Trinket)']
AP Singed, 27, [u'Rod of Ages'; "Seraph's Embrace"; 'Thornmail'; "Mercury's Treads"; "Rylai's Crystal Scepter"; "Liandry's Torment"; 'Warding Totem (Trinket)'], [u'Rod of Ages'; 'Tear of the Goddess'; 'Thornmail'; "Warmog's Armor"; "Mercury's Treads"; "Rylai's Crystal Scepter"; 'Warding Totem (Trinket)']
AP Evelynn, 28, [u'Iceborn Gauntlet'; "Banshee's Veil"; 'Boots of Mobility'; "Randuin's Omen"; 'Hextech Gunblade'; 'Warding Totem (Trinket)'; 'Enchantment: Magus'], [u'Iceborn Gauntlet'; "Banshee's Veil"; 'Boots of Mobility'; "Randuin's Omen"; 'Hextech Gunblade'; 'Warding Totem (Trinket)'; 'Enchantment: Magus']
AP Twitch, 29, [u'Boots of Speed'; 'Dagger'; "Doran's Ring"; 'Health Potion'; 'Mana Potion'; "Zhonya's Hourglass"; 'Warding Totem (Trinket)'], []
AP Karthus, 30, [u"Sorcerer's Shoes"; 'Rod of Ages'; "Seraph's Embrace"; "Rabadon's Deathcap"; 'Void Staff'; "Zhonya's Hourglass"; 'Warding Totem (Trinket)'], [u"Sorcerer's Shoes"; 'Rod of Ages'; "Seraph's Embrace"; "Rabadon's Deathcap"; 'Void Staff'; "Zhonya's Hourglass"; 'Warding Totem (Trinket)']
AP Chogath, 31, [u'Blasting Wand'; "Doran's Ring"; 'Needlessly Large Rod'; 'Rod of Ages'; 'Frozen Heart'; "Mercury's Treads"; 'Warding Totem (Trinket)'], [u'Blasting Wand'; "Doran's Ring"; 'Needlessly Large Rod'; 'Rod of Ages'; 'Frozen Heart'; "Mercury's Treads"; 'Warding Totem (Trinket)']
