name,id,popularity,winrate
AP Annie,1,0.176736,0.527069
AP Olaf,2,0.000140,0.500000
AP Galio,3,0.007589,0.529644
AP TwistedFate,4,0.045251,0.519222
AP XinZhao,5,0.005089,0.506876
AP Urgot,6,0.000080,0.250000
AP Leblanc,7,0.105070,0.446855
AP Vladimir,8,0.132285,0.515154
AP FiddleSticks,9,0.043372,0.542185
AP Kayle,10,0.017657,0.488109
AP MasterYi,11,0.000170,0.294118
AP Alistar,12,0.004289,0.424242
AP Ryze,13,0.079325,0.490547
AP Sion,14,0.000330,0.515152
AP Sivir,15,0.000090,0.333333
AP Soraka,16,0.014627,0.555707
AP Teemo,17,0.061398,0.499267
AP Tristana,18,0.000390,0.282051
AP Warwick,19,0.000630,0.523810
AP Nunu,20,0.009888,0.501517
AP MissFortune,21,0.000460,0.521739
AP Ashe,22,0.000190,0.526316
AP Tryndamere,23,0.000370,0.459459
AP Jax,24,0.015447,0.439482
AP Morgana,25,0.201512,0.507467
AP Zilean,26,0.006869,0.491994
AP Singed,27,0.008408,0.530321
AP Evelynn,28,0.012538,0.607656
AP Twitch,29,0.000050,0.000000
AP Karthus,30,0.014177,0.523272
AP Chogath,31,0.094862,0.536256
AP Amumu,32,0.023136,0.646500
AP Rammus,33,0.000590,0.423729
AP Anivia,34,0.017337,0.522491
AP Shaco,35,0.005089,0.463654
AP DrMundo,36,0.000100,0.300000
AP Sona,37,0.060459,0.543906
AP Kassadin,38,0.020306,0.445593
AP Irelia,39,0.026045,0.427255
AP Janna,40,0.017467,0.599313
AP Gangplank,41,0.003929,0.435115
AP Corki,42,0.013068,0.395562
AP Karma,43,0.028785,0.506078
AP Taric,44,0.001270,0.488189
AP Veigar,45,0.024065,0.466140
AP Trundle,48,0.000170,0.529412
AP Swain,50,0.037753,0.532044
AP Blitzcrank,53,0.018936,0.511616
AP Malphite,54,0.040992,0.562927
AP Katarina,55,0.093832,0.499627
AP Nocturne,56,0.000040,0.250000
AP Maokai,57,0.011048,0.477828
AP Renekton,58,0.000070,0.571429
AP JarvanIV,59,0.000250,0.520000
AP Elise,60,0.003509,0.444444
AP Orianna,61,0.058789,0.488605
AP MonkeyKing,62,0.001420,0.598592
AP Brand,63,0.041682,0.521948
AP LeeSin,64,0.000670,0.298507
AP Vayne,67,0.000540,0.462963
AP Rumble,68,0.041582,0.512383
AP Cassiopeia,69,0.052330,0.485480
AP Skarner,72,0.002649,0.554717
AP Heimerdinger,74,0.042352,0.535647
AP Nasus,75,0.012608,0.530531
AP Nidalee,76,0.090633,0.482405
AP Udyr,77,0.006939,0.494236
AP Poppy,78,0.004119,0.485437
AP Gragas,79,0.017577,0.496018
AP Pantheon,80,0.000220,0.363636
AP Ezreal,81,0.048471,0.421411
AP Mordekaiser,82,0.027475,0.522926
AP Yorick,83,0.001030,0.504854
AP Akali,84,0.046561,0.497101
AP Kennen,85,0.024835,0.524155
AP Garen,86,0.000120,0.250000
AP Leona,89,0.001330,0.496241
AP Malzahar,90,0.049541,0.547931
AP Talon,91,0.000070,0.000000
AP Riven,92,0.000140,0.357143
AP KogMaw,96,0.012048,0.478838
AP Shen,98,0.002070,0.555556
AP Lux,99,0.110899,0.507753
AP Xerath,101,0.038423,0.505595
AP Shyvana,102,0.000590,0.593220
AP Ahri,103,0.140363,0.528813
AP Graves,104,0.000140,0.214286
AP Fizz,105,0.091913,0.501577
AP Volibear,106,0.001650,0.569697
AP Rengar,107,0.001000,0.550000
AP Varus,110,0.000270,0.481481
AP Nautilus,111,0.004469,0.514541
AP Viktor,112,0.044981,0.488553
AP Sejuani,113,0.004829,0.606625
AP Fiora,114,0.000100,0.300000
AP Ziggs,115,0.038323,0.497261
AP Lulu,117,0.029114,0.499313
AP Draven,119,0.000100,0.500000
AP Hecarim,120,0.014507,0.468642
AP Khazix,121,0.000110,0.363636
AP Darius,122,0.001280,0.531250
AP Jayce,126,0.000030,0.000000
AP Lissandra,127,0.034064,0.474905
AP Diana,131,0.086943,0.537259
AP Quinn,133,0.000090,0.111111
AP Syndra,134,0.018986,0.458662
AP Zyra,143,0.018926,0.521923
AP Gnar,150,0.002829,0.448763
AP Zac,154,0.001830,0.579235
AP Yasuo,157,0.000560,0.500000
AP Velkoz,161,0.026895,0.500743
AP Braum,201,0.000210,0.380952
AP Jinx,222,0.000120,0.083333
AP Lucian,236,0.001120,0.392857
AP Zed,238,0.000070,0.285714
AP Ekko,245,0.121667,0.477361
AP Vi,254,0.009638,0.534232
AP Aatrox,266,0.000100,0.600000
AP Nami,267,0.020526,0.524598
AP Azir,268,0.055599,0.449919
AP Thresh,412,0.000900,0.411111
AP RekSai,421,0.001550,0.419355
AP Kalista,429,0.000080,0.125000
AP Bard,432,0.006809,0.434655
