name,id,frequent_build,winning_build
Annie, 1, [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Void Staff'; u"Zhonya's Hourglass"; u'Morellonomicon'; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u'Health Potion'; u"Sorcerer's Shoes"; u'Rod of Ages'; u"Rabadon's Deathcap"; u'Void Staff'; u"Luden's Echo"; u'Warding Totem (Trinket)']
Olaf, 2, [u'Spirit Visage'; u'Ravenous Hydra (Melee Only)'; u'Thornmail'; u"Youmuu's Ghostblade"; u"Randuin's Omen"; u'Greater Stealth Totem (Trinket)'; u'Righteous Glory'], [u'Ninja Tabi'; u'Spirit Visage'; u"Banshee's Veil"; u'Frozen Heart'; u"Randuin's Omen"; u'Blade of the Ruined King'; u'Warding Totem (Trinket)']
TwistedFate, 4, [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Lich Bane'; u'Void Staff'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Greater Stealth Totem (Trinket)'], [u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Lich Bane'; u'Void Staff'; u"Zhonya's Hourglass"; u"Luden's Echo"; u'Greater Stealth Totem (Trinket)']
XinZhao, 5, [u'The Black Cleaver'; u"Banshee's Veil"; u"Mercury's Treads"; u"Randuin's Omen"; u"Spectre's Cowl"; u'Greater Vision Totem (Trinket)'; u"Warrior - Stalker's Blade"], [u'Ninja Tabi'; u'Sunfire Cape'; u'The Black Cleaver'; u'Frozen Heart'; u'Blade of the Ruined King'; u'Greater Vision Totem (Trinket)'; u"(Sated) Devourer - Stalker's Blade"]
Urgot, 6, [u"Brawler's Gloves"; u'Muramana'; u'Ninja Tabi'; u'Frozen Heart'; u'The Brutalizer'; u"Randuin's Omen"; u'Warding Totem (Trinket)'], [u"Brawler's Gloves"; u'Muramana'; u'Ninja Tabi'; u'Frozen Heart'; u'The Brutalizer'; u"Randuin's Omen"; u'Warding Totem (Trinket)']
Leblanc, 7, [u'Amplifying Tome'; u"Doran's Ring"; u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Morellonomicon'; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u'Amplifying Tome'; u"Doran's Ring"; u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u'Morellonomicon'; u"Luden's Echo"; u'Warding Totem (Trinket)']
Vladimir, 8, [u'Needlessly Large Rod'; u"Rylai's Crystal Scepter"; u'Void Staff'; u'Will of the Ancients'; u'Ionian Boots of Lucidity'; u"Luden's Echo"; u'Warding Totem (Trinket)'], [u'Needlessly Large Rod'; u'Abyssal Scepter'; u"Rylai's Crystal Scepter"; u'Will of the Ancients'; u"Zhonya's Hourglass"; u'Ionian Boots of Lucidity'; u'Greater Vision Totem (Trinket)']
FiddleSticks, 9, [u'Blasting Wand'; u'Amplifying Tome'; u"Sorcerer's Shoes"; u"Rabadon's Deathcap"; u"Zhonya's Hourglass"; u"Oracle's Lens (Trinket)"; u"Runeglaive - Stalker's Blade"], []
Kayle, 10, [u"Runaan's Hurricane (Ranged Only)"; u"Wit's End"; u"Rylai's Crystal Scepter"; u'Haunting Guise'; u'Ionian Boots of Lucidity'; u'Warding Totem (Trinket)'; u"(Sated) Devourer - Skirmisher's Sabre"], [u"Berserker's Greaves"; u"Runaan's Hurricane (Ranged Only)"; u"Wit's End"; u"Nashor's Tooth"; u"Liandry's Torment"; u'Warding Totem (Trinket)'; u"(Sated) Devourer - Ranger's Trailblazer"]
MasterYi, 11, [u"Berserker's Greaves"; u'Statikk Shiv'; u'Quicksilver Sash'; u"Youmuu's Ghostblade"; u'Blade of the Ruined King'; u'Greater Stealth Totem (Trinket)'; u"(Sated) Devourer - Skirmisher's Sabre"], [u"Berserker's Greaves"; u'Statikk Shiv'; u'Quicksilver Sash'; u"Youmuu's Ghostblade"; u'Blade of the Ruined King'; u'Greater Stealth Totem (Trinket)'; u"(Sated) Devourer - Skirmisher's Sabre"]
Alistar, 12, [u'Total Biscuit of Rejuvenation'; u'Sightstone'; u'Aegis of the Legion'; u'Boots of Mobility'; u"Oracle's Lens (Trinket)"; u'Face of the Mountain'; u'Righteous Glory'], [u'Mana Potion'; u'Sightstone'; u'Catalyst the Protector'; u'Boots of Mobility'; u'Sweeping Lens (Trinket)'; u'Face of the Mountain'; u'Crystalline Bracer']
