name,id,popularity,winrate
Annie,1,0.184865,0.519362
Olaf,2,0.032554,0.469902
Galio,3,0.009948,0.512563
TwistedFate,4,0.048081,0.513828
XinZhao,5,0.125006,0.511077
Urgot,6,0.012568,0.465394
Leblanc,7,0.105820,0.444822
Vladimir,8,0.135184,0.509134
FiddleSticks,9,0.046471,0.525602
Kayle,10,0.021296,0.477934
MasterYi,11,0.090153,0.488078
Alistar,12,0.119657,0.475602
Ryze,13,0.084094,0.474973
Sion,14,0.042792,0.504673
Sivir,15,0.125716,0.504215
Soraka,16,0.048021,0.514262
Teemo,17,0.066477,0.491202
Tristana,18,0.095202,0.473745
Warwick,19,0.075286,0.523108
Nunu,20,0.043452,0.506213
MissFortune,21,0.068077,0.513879
Ashe,22,0.174587,0.506758
Tryndamere,23,0.093032,0.512090
Jax,24,0.080365,0.479846
Morgana,25,0.221238,0.500813
Zilean,26,0.008268,0.475212
Singed,27,0.011758,0.500000
Evelynn,28,0.054220,0.516135
Twitch,29,0.033914,0.448113
Karthus,30,0.014507,0.512750
Chogath,31,0.140383,0.507371
Amumu,32,0.120777,0.537914
Rammus,33,0.029604,0.516042
Anivia,34,0.017747,0.513239
Shaco,35,0.070787,0.505650
DrMundo,36,0.024945,0.454910
Sona,37,0.083104,0.524062
Kassadin,38,0.020636,0.441860
Irelia,39,0.095932,0.507452
Janna,40,0.108959,0.536520
Gangplank,41,0.031654,0.486418
Corki,42,0.045101,0.483706
Karma,43,0.032394,0.497840
Taric,44,0.032524,0.525669
Veigar,45,0.024505,0.463484
Trundle,48,0.023056,0.497398
Swain,50,0.038323,0.525437
Caitlyn,51,0.003739,0.529412
Blitzcrank,53,0.178216,0.510238
Malphite,54,0.144603,0.519394
Katarina,55,0.094612,0.496988
Nocturne,56,0.024865,0.484922
Maokai,57,0.067887,0.497202
Renekton,58,0.069967,0.515433
JarvanIV,59,0.080085,0.493508
Elise,60,0.008888,0.447694
Orianna,61,0.059389,0.485185
MonkeyKing,62,0.080655,0.533904
Brand,63,0.042102,0.518167
LeeSin,64,0.218149,0.455062
Vayne,67,0.373779,0.515768
Rumble,68,0.042172,0.506875
Cassiopeia,69,0.052750,0.482752
Skarner,72,0.019956,0.521042
Heimerdinger,74,0.042822,0.532104
Nasus,75,0.090563,0.503754
Nidalee,76,0.096742,0.470959
Udyr,77,0.062418,0.510492
Poppy,78,0.012178,0.500821
Gragas,79,0.127406,0.508671
Pantheon,80,0.102511,0.488833
Ezreal,81,0.165379,0.474639
Mordekaiser,82,0.028145,0.520426
Yorick,83,0.011708,0.500427
Akali,84,0.047561,0.492537
Kennen,85,0.025845,0.517988
Garen,86,0.081435,0.484223
Leona,89,0.201512,0.512776
Malzahar,90,0.050250,0.545364
Talon,91,0.051520,0.528042
Riven,92,0.139983,0.502821
KogMaw,96,0.023256,0.498710
Shen,98,0.064258,0.507391
Lux,99,0.112999,0.503185
Xerath,101,0.038793,0.502577
Shyvana,102,0.061698,0.499433
Ahri,103,0.141163,0.526737
Graves,104,0.186635,0.495152
Fizz,105,0.103670,0.497348
Volibear,106,0.116108,0.515371
Rengar,107,0.113538,0.484149
Varus,110,0.061548,0.490578
Nautilus,111,0.115378,0.513345
Viktor,112,0.045161,0.487492
Sejuani,113,0.100651,0.518129
Fiora,114,0.061188,0.518627
Ziggs,115,0.038653,0.494051
Lulu,117,0.048821,0.500717
Draven,119,0.097132,0.516315
Hecarim,120,0.092472,0.491837
Khazix,121,0.049881,0.489878
Darius,122,0.088943,0.499550
Jayce,126,0.007389,0.476319
Lissandra,127,0.034403,0.472246
Diana,131,0.088403,0.531441
Quinn,133,0.032754,0.497253
Syndra,134,0.019196,0.455208
Zyra,143,0.019826,0.514876
Gnar,150,0.090603,0.486537
Zac,154,0.027885,0.485837
Yasuo,157,0.141803,0.482620
Velkoz,161,0.027375,0.496348
Braum,201,0.103880,0.497690
Jinx,222,0.310521,0.515519
Lucian,236,0.165669,0.473084
Zed,238,0.117428,0.489570
Ekko,245,0.125166,0.473840
Vi,254,0.126326,0.500752
Aatrox,266,0.028954,0.501036
Nami,267,0.053760,0.506974
Azir,268,0.056049,0.447378
Thresh,412,0.336406,0.488573
RekSai,421,0.077605,0.492270
Kalista,429,0.096972,0.482421
Bard,432,0.034953,0.471968
